song,mood,max_intensity,min_intensity,mean_intensity,median_intensity,max_pitch,min_pitch,mean_pitch,median_pitch,max_timbre,min_timbre,mean_timbre,median_timbre,max_time,min_time,mean_time,median_time
aggressive.51,aggressive,-20.91499837660817,-84.13930436451814,-45.678970179789445,-44.66391845074985,1.0,0.03408862906977499,0.3839587558209875,0.2950043444803354,195.93498178929377,-699.3213056432951,-8.016119735091664,0.014823844344682837,0.5224489795918377,0.34829931972789113,0.49765479072985125,0.4992290249433111
aggressive.52,aggressive,-14.221316030557384,-87.03905918877592,-35.25736778992174,-33.421198176063385,1.0,0.06110345596032962,0.4876769073810599,0.4877127372504677,214.67279667338235,-527.7161511334666,-7.18659803672114,0.003359123783825385,0.5456689342403624,0.25541950113378686,0.5070357338337634,0.5108390022675735
aggressive.53,aggressive,-11.268194634026852,-68.43488129331757,-37.29214457828399,-35.06799548523415,1.0,0.12803263629101738,0.5141261998617215,0.4866440902750545,207.89489060864025,-655.1236350181912,-7.972155577592426,0.00757348773017725,0.6617687074829934,0.2786394557823129,0.6269387755102042,0.6385487528344669
aggressive.54,aggressive,-18.534953387701478,-72.5530565939561,-37.01923189322047,-35.66342562926417,1.0,0.07679969903700935,0.4913276761367817,0.479337864855665,207.06736130578574,-502.1948343267586,-7.148381554705973,0.007039361119666522,0.5340589569161018,0.34829931972789113,0.5086371100164203,0.5108390022675735
aggressive.55,aggressive,-16.351302702409882,-55.80896223698074,-35.07461563995824,-34.27129488836533,1.0,0.09617630607221184,0.4483978300246496,0.38160170851669517,188.8685392157646,-484.0689936558167,-7.100908079647916,0.004986796749960155,0.5688888888888894,0.10448979591836735,0.5076362499022598,0.5224489795918363
aggressive.56,aggressive,-17.543875044982315,-76.20047005057985,-35.84152319328776,-33.60409051208566,1.0,0.11431175953159406,0.46291197549569574,0.4100185142776133,227.02617851155466,-561.5995613632048,-7.322702317322524,-0.006122307283875571,0.48761904761904695,0.12770975056689343,0.39819084390512965,0.3947392290249425
aggressive.57,aggressive,-18.30321731802328,-65.17740648619359,-36.4595104674032,-34.9344383798806,1.0,0.12549139331104517,0.5634091216950642,0.5665571281549413,213.39174598518503,-520.5491587125084,-8.130026756080392,-0.005103341320822548,0.5108390022675738,0.19736961451247165,0.4851447901564998,0.48761904761904873
aggressive.58,aggressive,-10.84687784666663,-66.53421688836319,-34.15317267219727,-33.11061070386779,1.0,0.12038844366057114,0.5495533693164442,0.540760353942782,208.57255153550375,-577.6511024017395,-7.675807114814546,0.00762747192246792,0.42956916099773323,0.2089795918367347,0.4002304345161488,0.4063492063492049
aggressive.59,aggressive,-11.72585006108417,-68.33584712685365,-36.27560854152586,-35.01066360452201,1.0,0.11059642785513474,0.45586018365564596,0.4093422071030888,213.5637216437183,-512.069438372749,-6.970101551732855,-0.002522456789980663,0.5340589569161001,0.34829931972789113,0.48476413516226163,0.48761904761904784
aggressive.60,aggressive,-20.616432605081606,-64.29511014657517,-36.15348008247575,-35.910610419517184,1.0,0.10904512322767315,0.49946721919349324,0.4690174681281266,194.00724032902002,-472.2493724276783,-6.325875817643799,0.004369933757476058,0.650158730158731,0.34829931972789113,0.6244685675688716,0.6269387755102045
aggressive.61,aggressive,-13.978277367649145,-84.87721039713449,-39.10444263419805,-37.50112464282192,1.0,0.036804918860726205,0.3901544560903435,0.3358840687566361,206.5388181475241,-537.8308622041827,-8.8618014273997,-0.00525705656268782,0.6037188208616762,0.17414965986394557,0.49844190783658093,0.5108390022675735
aggressive.62,aggressive,-17.133374424689663,-75.64326054144254,-37.98635274035748,-37.32324724760086,1.0,0.07785967896759205,0.4658274675271746,0.4020742909178061,185.67601364169207,-504.19896410177125,-7.655331483887123,0.0017142876161629454,0.5572789115646266,0.046439909297052155,0.45386080586080585,0.4643990929705204
aggressive.63,aggressive,-11.316479692757262,-80.31095177542115,-39.71514284382784,-36.07941062964395,1.0,0.09164067243154211,0.4329445606362331,0.3826499113072406,243.44779780464185,-630.6123795611751,-8.679464764077425,-0.0008439768446034241,0.6385487528344669,0.18575963718820862,0.5907156462585035,0.6037188208616779
aggressive.64,aggressive,-12.025458331198497,-77.10186989846369,-37.23692914822132,-35.73357519193024,1.0,0.05717952624602655,0.4566166678177173,0.40773669232700926,238.98204010002723,-526.6276842174289,-7.42927296649218,-0.00771662573725856,0.5572789115646266,0.058049886621315196,0.4542180359323216,0.45278911564625846
aggressive.65,aggressive,-21.923536496481724,-88.66452506286055,-52.12371134638678,-50.90446147809678,1.0,0.04802127474533652,0.4257715232400486,0.38041228865828325,196.03491469656944,-826.3971214082562,-10.873970117239594,0.015422722086761483,0.6037188208616797,0.2438095238095238,0.5086371100164204,0.5108390022675735
aggressive.66,aggressive,-13.689251402356856,-62.876288704793964,-33.164003778921575,-32.150373668882075,1.0,0.16200582112145223,0.5684868456556497,0.5474410957677744,212.04100841332587,-486.30297689457376,-7.281313878611084,-0.005668806769752699,0.4643990929705204,0.046439909297052155,0.40587208399341473,0.4179591836734673
aggressive.67,aggressive,-16.032710027740016,-59.05035145729356,-37.917959937545625,-37.172037809589945,1.0,0.0890846006009027,0.5151688114335451,0.4886332990639932,215.9899153214317,-542.660944568969,-7.6556407480775945,0.003708151212962832,0.5340589569161001,0.37151927437641724,0.5086371100164204,0.5108390022675735
aggressive.68,aggressive,-15.574778864130558,-81.45756303478093,-37.69066638521118,-35.562265398004605,1.0,0.12544722550400497,0.5105391742763514,0.49832350823724303,209.95201315682036,-570.7925197235767,-8.65944856054131,-0.005138094102484725,0.5340589569161018,0.26702947845804986,0.4940045351473923,0.4992290249433111
aggressive.69,aggressive,-12.956356817420357,-76.83684760490331,-36.285756051630294,-34.70892975889807,1.0,0.102691666467455,0.5048349305393913,0.4776441867433002,212.38083134382924,-505.7348701171157,-7.99478987552371,-0.004785035842389043,0.6269387755102045,0.3250793650793651,0.574807700858121,0.5804988662131514
aggressive.70,aggressive,-13.611123321344122,-77.53341148113543,-43.6288563201553,-41.82421535532345,1.0,0.07999212142709813,0.451840917706907,0.4219216307226793,217.17007663294038,-580.0817402512735,-9.39474691497757,-0.002618615339693945,0.754648526077097,0.4992290249433107,0.6504167296548249,0.6501587301587293
aggressive.71,aggressive,-11.56545555299616,-95.08370068510256,-38.49267665684816,-37.818912436093015,1.0,0.057624440371550956,0.4837460614889899,0.4660345675988967,194.89421156818048,-645.2281099973396,-8.443768496126918,-0.0020434533225717477,0.4643990929705215,0.3250793650793651,0.4272135134246935,0.42956916099773235
